title,company,location,link
라인프렌즈 2022년 각 부문 수시,라인프렌즈,서울 용산구,https://kr.indeed.com/viewjob?jk=1015284880e2ff62
빅데이터 분야,LG유플러스,서울,https://kr.indeed.com/viewjob?jk=67c19d7ac0857ecd
AI 분야,LG유플러스,서울,https://kr.indeed.com/viewjob?jk=abdc136f65ceddd4
Python 경력직 개발자 (신한은행 배달앱;땡겨요; 개인화 큐레이션 서비스 운영 개발),미식의시대,서울 중구,https://kr.indeed.com/viewjob?jk=64c241d8facd72c6
Python 기반 빅데이터 처리 개발자,드림어스컴퍼니,서울 서초구,https://kr.indeed.com/viewjob?jk=d364360d1e0368e3
Diploma Student / Intern_Linux/C++/Python,SAP,서울,https://kr.indeed.com/viewjob?jk=227cc2b8f27d02d9
이종 산업 라이프 데이터 가치를 발굴할 데이터 사이언티스트,LG전자,서울 서초구,https://kr.indeed.com/viewjob?jk=b8029d98cafb10ed
전문연구요원 (병역특례) 수시 (AI / HW 분야),딥엑스,성남 분당구,https://kr.indeed.com/viewjob?jk=78e99625e5de3c95
서버 개발자 Python(Django) Developer (경력),아테나스랩,서울 마포구,https://kr.indeed.com/viewjob?jk=53c7c22b9dacbbe3
AI Research Engineer Intern,Intel,서울,https://kr.indeed.com/viewjob?jk=ad695cb2c767be8b
UX Researcher (정량/포트폴리오 없는 전형),비바리퍼블리카,서울 강남구,https://kr.indeed.com/viewjob?jk=cdf77590ecd833dc
마케팅 데이터 사이언티스트 경력 (석사/박사 신입지원가능),LG전자,서울특별시,https://kr.indeed.com/viewjob?jk=10527efc7ef20f32
AI Frameworks Engineer Intern,Intel,서울,https://kr.indeed.com/viewjob?jk=74dd680945a195f3
각 분야별 인재 Pool 등록,지투알,서울,https://kr.indeed.com/viewjob?jk=a5e926e1d22cdc11
2022년 5월 CTO 배터리 진단 분야 전문가,LG에너지솔루션,대전 유성구,https://kr.indeed.com/viewjob?jk=ddf19052aedbc30c
JR0186078 AI Research Engineer Intern,인텔코리아,서울,https://kr.indeed.com/viewjob?jk=016de9bb83a8032d
자동차 전장 ADAS SW 분야 전문가,LG전자,서울 강서구,https://kr.indeed.com/viewjob?jk=f42242989b39b5e1
